Alloy,Tensile Strength: Ultimate (UTS) (psi),Melting Completion (Liquidus),Al,As,B,C,Ca,Ce,Co,Cr,Cu,Fe,La,Mg,Mn,Mo,N,Nb,Ni,O,P,Pb,S,Se,Si,Sn,Ta,Ti,V,W,Zn,Zr
ASTM A602 Grade M3210 (F20000) Cast Iron,350.0,1410.0,0.0,0.0,0.0,2.55,0.0,0.0,0.0,0.0,0.0,95.15,0.0,0.0,0.725,0.0,0.0,0.0,0.0,0.0,0.0849999999999999,0.0,0.11,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTM A602 Grade M4504 (F20001) Cast Iron,450.0,1410.0,0.0,0.0,0.0,2.55,0.0,0.0,0.0,0.0,0.0,95.15,0.0,0.0,0.725,0.0,0.0,0.0,0.0,0.0,0.0849999999999999,0.0,0.11,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTM A602 Grade M5003 (F20002) Cast Iron,520.0,1410.0,0.0,0.0,0.0,2.55,0.0,0.0,0.0,0.0,0.0,95.15,0.0,0.0,0.725,0.0,0.0,0.0,0.0,0.0,0.0849999999999999,0.0,0.11,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTM A602 Grade M5503 (F20003) Cast Iron,520.0,1410.0,0.0,0.0,0.0,2.55,0.0,0.0,0.0,0.0,0.0,95.15,0.0,0.0,0.725,0.0,0.0,0.0,0.0,0.0,0.0849999999999999,0.0,0.11,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTM A602 Grade M7002 (F20004) Cast Iron,620.0,1410.0,0.0,0.0,0.0,2.55,0.0,0.0,0.0,0.0,0.0,95.15,0.0,0.0,0.725,0.0,0.0,0.0,0.0,0.0,0.0849999999999999,0.0,0.11,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTM A602 Grade M8501 (F20005) Cast Iron,720.0,1410.0,0.0,0.0,0.0,2.55,0.0,0.0,0.0,0.0,0.0,95.15,0.0,0.0,0.725,0.0,0.0,0.0,0.0,0.0,0.0849999999999999,0.0,0.11,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ASTM A897 Grade 1 (ASTM 130-90-09 or 900-650-09, ISO 900-8) Cast Iron",1010.0,1380.0,0.025,0.01,0.0,3.6,0.0,0.0,0.0,0.05,0.4,91.8,0.0,0.02,0.35,0.15,0.0,0.0,1.0,0.0,0.02,0.0,0.01,0.015,2.5,0.01,0.0,0.0,0.05,0.0,0.0,0.0
"ASTM A897 Grade 2 (ASTM 150-110-07 or 1050-750-07, ISO 1050-6) Cast Iron",1200.0,1380.0,0.025,0.01,0.0,3.6,0.0,0.0,0.0,0.05,0.4,91.8,0.0,0.02,0.35,0.15,0.0,0.0,1.0,0.0,0.02,0.0,0.01,0.015,2.5,0.01,0.0,0.0,0.05,0.0,0.0,0.0
"ASTM A897 Grade 3 (ASTM 175-125-4 or 1200-850-04, ISO 1200-3, EN-JS 1120) Cast Iron",1320.0,1380.0,0.025,0.01,0.0,3.6,0.0,0.0,0.0,0.05,0.4,91.8,0.0,0.02,0.35,0.15,0.0,0.0,1.0,0.0,0.02,0.0,0.01,0.015,2.5,0.01,0.0,0.0,0.05,0.0,0.0,0.0
"ASTM A897 Grade 4 (ASTM 200-155-1 or 1400-1100-02, ISO 1400-1, EN-JS 1130) Cast Iron",1530.0,1380.0,0.025,0.01,0.0,3.6,0.0,0.0,0.0,0.05,0.4,91.8,0.0,0.02,0.35,0.15,0.0,0.0,1.0,0.0,0.02,0.0,0.01,0.015,2.5,0.01,0.0,0.0,0.05,0.0,0.0,0.0
ASTM A897 Grade 5 (ASTM 230-185-01 or 1600-1300-01) Cast Iron,1800.0,1380.0,0.025,0.01,0.0,3.6,0.0,0.0,0.0,0.05,0.4,91.8,0.0,0.02,0.35,0.15,0.0,0.0,1.0,0.0,0.02,0.0,0.01,0.015,2.5,0.01,0.0,0.0,0.05,0.0,0.0,0.0
"ASTM F15 (1.3981,K94610) Fe-Ni-Co Sealing Alloy",520.0,1410.0,0.05,0.0,0.0,0.02,0.0,0.0,17.0,0.1,0.1,53.15,0.0,0.05,0.25,0.1,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.05,0.0,0.0,0.0,0.05
"ASTM F15 (1.3981,K94610) Fe-Ni-Co Sealing Alloy",520.0,1410.0,0.05,0.0,0.0,0.02,0.0,0.0,17.0,0.1,0.1,53.15,0.0,0.05,0.25,0.1,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.05,0.0,0.0,0.0,0.05
"ASTM Grade 100-70-03 (SAE D7003, ISO 700-2, EN-JS 1070) Ductile Cast Iron",770.0,1160.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,94.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTM Grade 110-70-11 or 750-500-11 Cast Iron,860.0,1380.0,0.025,0.01,0.0,3.6,0.0,0.0,0.0,0.05,0.4,91.8,0.0,0.02,0.35,0.15,0.0,0.0,1.0,0.0,0.02,0.0,0.01,0.015,2.5,0.01,0.0,0.0,0.05,0.0,0.0,0.0
"ASTM Grade 120-90-02 (ISO 800-2, EN-JS 1080) Ductile Cast Iron",920.0,1160.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,94.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ASTM Grade 125-80-10 or 850-550-10 (ISO 800-10, EN-JS 1100) Cast Iron",920.0,1380.0,0.025,0.01,0.0,3.6,0.0,0.0,0.0,0.05,0.4,91.8,0.0,0.02,0.35,0.15,0.0,0.0,1.0,0.0,0.02,0.0,0.01,0.015,2.5,0.01,0.0,0.0,0.05,0.0,0.0,0.0
"ASTM Grade 150-100-7 or 1050-700-7 (ISO 1000-6, EN-JS 1110) Cast Iron",1120.0,1380.0,0.025,0.01,0.0,3.6,0.0,0.0,0.0,0.05,0.4,91.8,0.0,0.02,0.35,0.15,0.0,0.0,1.0,0.0,0.02,0.0,0.01,0.015,2.5,0.01,0.0,0.0,0.05,0.0,0.0,0.0
"ASTM Grade 20 or 150 (ISO 150, EN-JL 1020, F11401) Grey Cast Iron",160.0,1380.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.075,0.0,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTM Grade 225 Grey Cast Iron,260.0,1380.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.075,0.0,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTM Grade 25 or 175 (F11701) Grey Cast Iron,190.0,1380.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.075,0.0,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ASTM Grade 30 or 200 (ISO 200, EN-JL 1030, F12101) Grey Cast Iron",240.0,1380.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.075,0.0,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTM Grade 325 Grey Cast Iron,370.0,1380.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.075,0.0,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ASTM Grade 35 or 250 (ISO 250, EN-JL 1040, F12401) Grey Cast Iron",250.0,1380.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.075,0.0,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTM Grade 40 or 275 (F12801) Grey Cast Iron,310.0,1380.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.075,0.0,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ASTM Grade 45 or 300 (ISO 300, EN-JL 1050, F13101) Grey Cast Iron",350.0,1380.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.075,0.0,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ASTM Grade 50 or 350 (ISO 350, EN-JL 1060, F13501) Grey Cast Iron",380.0,1380.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.075,0.0,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTM Grade 55 or 375 (F13801) Grey Cast Iron,430.0,1380.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.075,0.0,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTM Grade 60 or 400 (F14101) Grey Cast Iron,450.0,1380.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.075,0.0,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ASTM Grade 60-40-18 (SAE D4018, ISO 400-18, EN-JS 1025) Ductile Cast Iron",460.0,1160.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,94.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTM Grade 60-42-10 Ductile Cast Iron,470.0,1160.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,94.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ASTM Grade 65-45-12 (SAE D4512, ISO 450-10) Ductile Cast Iron",490.0,1160.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,94.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTM Grade 65-45-15 Ductile Cast Iron,500.0,1160.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,94.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ASTM Grade 70-50-05 (ISO 500-7, EN-JS 1050) Ductile Cast Iron",530.0,1160.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,94.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTM Grade 80-55-06 (SAE D5506) Ductile Cast Iron,600.0,1160.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,94.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ASTM Grade 80-60-03 (ISO 600-3, EN-JS 1060) Ductile Cast Iron",630.0,1160.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,94.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ASTM Grade HC (28Cr,J92605) Cast Stainless Steel",430.0,1410.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,28.0,0.0,67.95,0.0,0.0,0.5,0.25,0.0,0.0,2.0,0.0,0.02,0.0,0.02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ASTM Grade HD (28Cr-5Ni,J93005) Cast Stainless Steel",590.0,1410.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,28.0,0.0,64.2,0.0,0.0,0.75,0.25,0.0,0.0,5.5,0.0,0.02,0.0,0.02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ASTM Grade HE (29Cr-9Ni,J93403) Cast Stainless Steel",670.0,1400.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,28.0,0.0,59.85,0.0,0.0,1.0,0.25,0.0,0.0,9.5,0.0,0.02,0.0,0.02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ASTM Grade HF (19Cr-9Ni,J92603) Cast Stainless Steel",550.0,1410.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,20.5,0.0,66.9,0.0,0.0,1.0,0.25,0.0,0.0,10.0,0.0,0.02,0.0,0.02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ASTM Grade HG10 MNN (19Cr-12Ni-4Mn, J92604) Cast Stainless Steel",590.0,1420.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,19.5,0.25,62.2,0.0,0.0,4.0,0.35,0.25,0.6,12.5,0.0,0.02,0.0,0.015,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ASTM Grade HH (25Cr-12Ni,J93503) Cast Stainless Steel",580.0,1400.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,26.0,0.0,58.85,0.0,0.0,1.0,0.25,0.0,0.0,12.5,0.0,0.02,0.0,0.02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ASTM Grade HI (28Cr-15Ni,J94003) Cast Stainless Steel",550.0,1400.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,28.0,0.0,53.35,0.0,0.0,1.0,0.25,0.0,0.0,16.0,0.0,0.02,0.0,0.02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ASTM Grade HK (25Cr-20Ni,J94224) Cast Stainless Steel",500.0,1400.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,26.0,0.0,51.3,0.0,0.0,1.0,0.25,0.0,0.0,20.0,0.0,0.02,0.0,0.02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ASTM Grade HL (29Cr-20Ni,N08604) Cast Stainless Steel",500.0,1390.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,30.0,0.0,47.3,0.0,0.0,1.0,0.25,0.0,0.0,20.0,0.0,0.02,0.0,0.02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ASTM Grade HN (20Cr-25Ni,J94213) Cast Stainless Steel",500.0,1400.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,21.0,0.0,51.35,0.0,0.0,1.0,0.25,0.0,0.0,25.0,0.0,0.02,0.0,0.02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ASTM Grade HP (26Cr-35Ni,N08705) Cast Stainless Steel",490.0,1370.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,26.0,0.0,35.95,0.0,0.0,1.0,0.25,0.0,0.0,35.0,0.0,0.02,0.0,0.02,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ASTM Grade HT (15Cr-35Ni,N08605) Cast Stainless Steel",500.0,1390.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,17.0,0.0,44.95,0.0,0.0,1.0,0.25,0.0,0.0,35.0,0.0,0.02,0.0,0.02,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTM Grade LC1 (J12522) Cast Carbon-Molybdenum Steel,540.0,1470.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,98.325,0.0,0.0,0.65,0.55,0.0,0.0,0.0,0.0,0.02,0.0,0.0225,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTM Grade LC2 (J22500) Cast Nickel Steel,570.0,1460.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,96.4,0.0,0.0,0.65,0.0,0.0,0.0,2.5,0.0,0.02,0.0,0.0225,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTM Grade LC2-1 (J42215) Cast Alloy Steel,810.0,1460.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,1.65,0.0,93.9,0.0,0.0,0.65,0.4499999999999999,0.0,0.0,3.0,0.0,0.02,0.0,0.0225,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTM Grade LC3 (J31550) Cast Nickel Steel,570.0,1460.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,95.45,0.0,0.0,0.65,0.0,0.0,0.0,3.5,0.0,0.02,0.0,0.0225,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTM Grade LC4 (J41500) Cast Nickel Steel,570.0,1460.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,94.45,0.0,0.0,0.65,0.0,0.0,0.0,4.5,0.0,0.02,0.0,0.0225,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTM Grade LC9 (J31300) Cast Nickel Steel,660.0,1450.0,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.25,0.15,89.45,0.0,0.0,0.45,0.1,0.0,0.0,9.25,0.0,0.02,0.0,0.0225,0.0,0.225,0.0,0.0,0.0,0.015,0.0,0.0,0.0
ASTM Grade LCA (J02504) Cast Carbon Steel,500.0,1460.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.15,98.45,0.0,0.0,0.35,0.1,0.0,0.0,0.0,0.0,0.02,0.0,0.0225,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTM Grade LCB (J03003) Cast Carbon Steel,540.0,1450.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,98.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0225,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTM Grade LCC (J02505) Cast Carbon-Manganese Steel,570.0,1450.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,98.45,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0225,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTM-A182-Grade-F1-K12822-Steel,540.0,1470.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,98.25,0.0,0.0,0.75,0.545,0.0,0.0,0.0,0.0,0.0225,0.0,0.0225,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTM-A182-Grade-F10-S33100-Steel,630.0,1420.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,8.0,0.0,69.45,0.0,0.0,0.65,0.0,0.0,0.0,20.5,0.0,0.02,0.0,0.015,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTM-A182-Grade-F11-Class-1-K11597-Steel,470.0,1460.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.25,0.0,96.85,0.0,0.0,0.4499999999999999,0.545,0.0,0.0,0.0,0.0,0.015,0.0,0.015,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTM-A182-Grade-F11-Class-2-K11572-Steel,540.0,1460.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,1.25,0.0,96.75,0.0,0.0,0.55,0.545,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTM-A182-Grade-F12-Class-1-K11562-Steel,470.0,1470.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.05,0.0,97.6,0.0,0.0,0.4499999999999999,0.545,0.0,0.0,0.0,0.0,0.0225,0.0,0.0225,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTM-A182-Grade-F12-Class-2-K11564-Steel,540.0,1460.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,1.05,0.0,97.35,0.0,0.0,0.55,0.545,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTM-A182-Grade-F122-K91271-Steel,710.0,1490.0,0.01,0.0,0.0025,0.105,0.0,0.0,0.0,10.75,1.0,84.5,0.0,0.0,0.35,0.425,0.07,0.07,0.25,0.0,0.01,0.0,0.005,0.0,0.25,0.0,0.0,0.005,0.2249999999999999,2.0,0.0,0.005
ASTM-A182-Grade-F2-K12122-Steel,550.0,1460.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.655,0.0,97.75,0.0,0.0,0.55,0.545,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTM-A182-Grade-F22V-K31835-Steel,670.0,1470.0,0.0,0.0,0.001,0.13,0.0075,0.0,0.0,2.25,0.1,95.5,0.0,0.0,0.4499999999999999,1.0,0.0,0.035,0.125,0.0,0.0075,0.0,0.005,0.0,0.05,0.0,0.0,0.015,0.3,0.0,0.0,0.0
ASTM-A182-Grade-F23-K41650-Steel,570.0,1500.0,0.015,0.0,0.0035,0.07,0.0,0.0,0.0,2.25,0.0,94.7,0.0,0.0,0.35,0.175,0.0075,0.05,0.2,0.0,0.015,0.0,0.005,0.0,0.25,0.0,0.0,0.0325,0.25,1.65,0.0,0.0
ASTM-A182-Grade-F24-K30736-Steel,670.0,1470.0,0.01,0.0,0.00425,0.075,0.0,0.0,0.0,2.4000000000000004,0.0,95.3,0.0,0.0,0.5,1.0,0.06,0.0,0.0,0.0,0.01,0.0,0.005,0.0,0.3,0.0,0.0,0.08,0.25,0.0,0.0,0.0
ASTM-A182-Grade-F36-K21001-Steel,710.0,1460.0,0.025,0.0,0.0,0.135,0.0,0.0,0.0,0.15,0.65,96.05,0.0,0.0,1.0,0.375,0.01,0.03,1.15,0.0,0.015,0.0,0.0125,0.0,0.375,0.0,0.0,0.0,0.01,0.0,0.0,0.0
ASTM-A182-Grade-F3V-K31830-Steel,660.0,1470.0,0.0,0.0,0.002,0.1149999999999999,0.0,0.0,0.0,3.0,0.0,95.05,0.0,0.0,0.4499999999999999,1.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.05,0.0,0.0,0.025,0.25,0.0,0.0,0.0
ASTM-A182-Grade-F3VCb-K31390-Steel,670.0,1470.0,0.0,0.0,0.0,0.125,0.00775,0.0,0.0,3.0,0.125,94.8,0.0,0.0,0.4499999999999999,1.0,0.0,0.0425,0.125,0.0,0.01,0.0,0.005,0.0,0.05,0.0,0.0,0.0075,0.25,0.0,0.0,0.0
ASTM-A182-Grade-F5-K41545-Steel,540.0,1460.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,5.0,0.0,93.4,0.0,0.0,0.4499999999999999,0.545,0.0,0.0,0.25,0.0,0.015,0.0,0.015,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTM-A182-Grade-F5a-K42544-Steel,710.0,1460.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,5.0,0.0,93.5,0.0,0.0,0.3,0.545,0.0,0.0,0.25,0.0,0.02,0.0,0.015,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTM-A182-Grade-F6b-S41026-Stainless-Steel,850.0,1450.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,12.5,0.25,84.15,0.0,0.0,0.5,0.5,0.0,0.0,1.5,0.0,0.01,0.0,0.01,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTM-A182-Grade-F911-K91061-Steel,690.0,1480.0,0.01,0.0,0.00315,0.11,0.0,0.0,0.0,9.0,0.0,87.55000000000001,0.0,0.0,0.4499999999999999,1.0,0.065,0.08,0.2,0.0,0.01,0.0,0.005,0.0,0.3,0.0,0.0,0.005,0.215,1.0,0.0,0.005
ASTM-A182-Grade-F92-K92460-Steel,690.0,1490.0,0.01,0.0,0.0035,0.1,0.0,0.0,0.0,9.0,0.0,87.44999999999999,0.0,0.0,0.4499999999999999,0.4499999999999999,0.05,0.065,0.2,0.0,0.01,0.0,0.005,0.0,0.25,0.0,0.0,0.005,0.2,1.75,0.0,0.005
ASTM-A182-Grade-FR-K22035-Steel,490.0,1460.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.025,96.25,0.0,0.0,0.75,0.0,0.0,0.0,1.9,0.0,0.0225,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTM-A227-Spring-Steel,652.4829777576033,1450.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,98.25,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.025,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTM-A228-SWP-A-K08500-Music-Wire,2450.0,1450.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,98.5,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.015,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTM-A229-Oil-Tempered-Spring-Steel,652.4829777576033,1450.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,98.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.025,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTM-A231-Chromium-Vanadium-Spring-Steel,1790.0,1460.0,0.0,0.0,0.0,0.505,0.0,0.0,0.0,0.95,0.0,97.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.25,0.0,0.0,0.0,0.2249999999999999,0.0,0.0,0.0
ASTM-A232-Chromium-Vanadium-Spring-Steel,1790.0,1460.0,0.0,0.0,0.0,0.505,0.0,0.0,0.0,0.95,0.0,97.25,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0175,0.0,0.25,0.0,0.0,0.0,0.2249999999999999,0.0,0.0,0.0
ASTM-A242-HSLA-Steel,490.0,1460.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.325,99.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTM-A321-Carbon-Steel,670.0,1460.0,0.0,0.0,0.0,0.275,0.0,0.0,0.0,0.0,0.0,98.675,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.025,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTM-A356-Grade-1-J03502-Cast-Carbon-Steel,550.0,1460.0,0.0,0.0,0.0,0.175,0.0,0.0,0.0,0.0,0.0,99.15,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0175,0.0,0.015,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
